name,rating,reviews,category,hq,no_of_branches,salary,no_of_interviews,jobs
Sun Pharmaceutical Industries,4.1,6.8k,Pharma ,Vadodara,253,21.7k,563,319
Hexaware Technologies,3.5,6.7k,IT Services & Consulting ,Chennai,66,50.3k,774,294
JSW Steel,3.9,6.7k,Iron & Steel ,Ballari,173,28.3k,687,113
Lupin,4.1,6.7k,Pharma ,Pune,193,22.3k,386,65
L&T Construction,4.0,6.7k,Engineering & Construction ,Chennai,407,18.6k,850,--
Zydus Lifesciences,4.0,6.6k,Pharma ,Ahmedabad,171,19.2k,370,16
Hindustan Unilever,4.2,6.5k,FMCG ,Mumbai,505,19.6k,412,28
Equitas Small Finance Bank,4.4,6.5k,Banking ,Chennai,436,12.5k,486,1.3k
KPMG India,3.4,6.4k,Management Consulting ,Bangalore / Bengaluru,104,59.4k,855,1.4k
ITC,3.9,6.3k,FMCG ,Bangalore / Bengaluru,359,23k,616,81
Ekart Logistics,3.9,6.2k,,Bangalore / Bengaluru,705,14.7k,360,1
Axis Max Life Insurance,4.0,6.2k,Insurance ,New Delhi,470,18.4k,362,323
Ujjivan Small Finance Bank,4.0,6.1k,Banking ,Bangalore / Bengaluru,505,12.4k,274,139
FIS,3.9,6k,FinTech ,Pune,58,37.8k,510,57
Tata Projects,4.2,5.9k,Engineering & Construction ,Mumbai,267,21.4k,515,26
Megha Engineering & Infrastructures,3.9,5.9k,Engineering & Construction ,Hyderabad / Secunderabad,377,17.1k,507,248
HCL Group,3.5,5.9k,IT Services & Consulting ,Chennai,95,43.3k,484,--
Indian Army,4.7,5.7k,Defence & Aerospace ,New Delhi,350,9.2k,177,--
IIFL Finance,4.0,5.7k,NBFC ,Mumbai,760,14.1k,288,92
L&T Technology Services,3.2,5.7k,IT Services & Consulting ,Bangalore / Bengaluru,90,40.5k,578,13
Oracle,3.7,5.7k,Software Product ,Bangalore / Bengaluru,54,58.7k,899,603
Coforge,3.3,5.7k,IT Services & Consulting ,Noida,101,44.4k,596,234
Bajaj Allianz Life Insurance,3.9,5.6k,Insurance ,Pune,574,16.4k,397,119
Udaan,4.0,5.6k,Internet ,Bangalore / Bengaluru,364,17.4k,360,3
Muthoot Finance,3.6,5.5k,NBFC ,Bangalore / Bengaluru,731,12.6k,296,138
JLL,4.1,5.5k,Real Estate ,Gurgaon / Gurugram,76,22.3k,422,801
eClerx,3.2,5.5k,IT Services & Consulting ,Pune,28,30.4k,586,3.9k
Virtusa Consulting Services,3.7,5.5k,IT Services & Consulting ,Hyderabad / Secunderabad,50,54.6k,623,1.3k
Omega Healthcare,3.7,5.5k,BPO ,Chennai,63,24.3k,487,210
HSBC Group,3.9,5.4k,Financial Services ,Bangalore / Bengaluru,61,39.4k,520,332
Indiamart Intermesh,3.6,5.3k,Internet ,Noida,164,19.5k,699,672
Cholamandalam Investment & Finance,3.9,5.3k,Financial Services ,Chennai,771,11.8k,226,24
Aurobindo Pharma,4.0,5.3k,Pharma ,Hyderabad / Secunderabad,104,20.9k,266,14
Siemens,4.0,5.2k,Industrial Automation ,Bangalore / Bengaluru,147,31.5k,467,207
DMart,3.9,5.2k,Retail ,Mumbai,234,17k,468,209
Shapoorji Pallonji Group,4.1,5.2k,Engineering & Construction ,Mumbai,183,14.9k,373,39
Standard Chartered,3.6,5.2k,Banking ,Chennai,67,40.7k,302,--
CGI Group,4.0,5.1k,IT Services & Consulting ,Bangalore / Bengaluru,43,45.3k,534,195
Firstsource Solutions,3.6,5.1k,BPO ,Bangalore / Bengaluru,69,22.9k,331,130
GlobalLogic,3.6,5.1k,IT Services & Consulting ,Hyderabad / Secunderabad,54,38.7k,643,79
