name,rating,reviews,category,hq,no_of_branches,salary,no_of_interviews,jobs
National Organic Chemical Industries,3.9,372,Chemicals ,Bharuch,13,1.7k,29,4
MyMoneyMantra,3.3,372,Internet ,New Delhi,26,1.8k,14,9
Acadecraft,3.3,373,EdTech ,Noida,10,894,52,9
NeoGrowth Credit,3.2,372,NBFC ,Mumbai,30,1.7k,23,18
Purplle.com,3.6,372,Beauty & Personal Care ,Mumbai,31,1.7k,29,100
Saama Technologies,3.8,371,IT Services & Consulting ,Pune,7,3.5k,58,9
RND Softech,3.1,371,BPO ,Coimbatore,10,1.7k,38,6
Venkateshwara Hatcheries,3.9,371,Food Processing ,Pune,51,1.4k,10,--
Indus Net Technologies,3.3,371,IT Services & Consulting ,Kolkata,7,1.8k,28,8
Virchow Biotech,3.4,371,Pharma ,Hyderabad / Secunderabad,12,1.6k,22,--
Polestar Analytics,4.0,371,IT Services & Consulting ,Noida,9,1k,23,9
Aditya Birla Housing Finance,3.8,371,Financial Services ,Mumbai,85,1.4k,16,--
Godrej Jersey,4.1,371,,Hyderabad / Secunderabad,37,1.2k,21,1
AIG Hospital,4.3,371,Healthcare ,Hyderabad / Secunderabad,4,1.4k,27,4
Moser Baer,4.0,370,Consumer Electronics & Appliances ,Noida,12,730,7,--
NAV Backoffice,3.4,370,Accounting & Auditing ,Jaipur,9,2k,34,1
Raptakos Brett and Company,3.6,370,Pharma ,Mumbai,51,1.4k,20,3
Moon Beverages,3.9,370,Beverage ,New Delhi,25,1.4k,20,3
Orion Innovation,3.5,370,IT Services & Consulting ,Chennai,12,3.2k,41,--
HealthKart,3.9,370,Internet ,Gurgaon / Gurugram,36,1.9k,28,38
American Axle & Manufacturing,4.4,369,Auto Components ,Pune,11,1.4k,23,--
Go Colors,3.9,369,Fashion & Textile ,Chennai,60,839,12,--
Metrochem Api,3.2,370,Pharma ,Hyderabad / Secunderabad,11,1.8k,29,3
Infinity Learn,3.7,371,EdTech ,Hyderabad / Secunderabad,15,1.6k,39,55
Yethi Consulting,3.4,369,IT Services & Consulting ,Bangalore / Bengaluru,11,2.8k,48,41
National Australia Bank,3.0,369,Banking ,Gurgaon / Gurugram,8,2.6k,49,23
Protium Finance,3.8,369,Financial Services ,Mumbai,69,1.6k,33,2
Welspun Flooring,3.9,369,Building Material ,Hyderabad / Secunderabad,24,1.2k,21,--
MAYORA,3.9,369,FMCG ,Hyderabad / Secunderabad,82,947,20,--
Hitachi Systems,3.9,369,IT Services & Consulting ,Mumbai,32,2k,10,2
KaaShiv InfoTech Company,4.9,368,EdTech ,Chennai,4,222,37,--
Samsung SDS,3.1,368,IT Services & Consulting ,Gurgaon / Gurugram,20,2.4k,28,--
International Automotive Components,4.0,368,Auto Components ,Pune,17,1.8k,23,1
HBL Global,4.1,368,NBFC ,New Delhi,78,388,9,--
myGate,3.1,368,Law Enforcement & Security ,Bangalore / Bengaluru,20,2.3k,30,3
Qwik Supply Chain,3.7,368,,New Delhi,137,1k,24,--
Systems Plus,4.3,368,IT Services & Consulting ,Pune,11,1.5k,30,68
LKQ INDIA,3.6,369,IT Services & Consulting ,Bangalore / Bengaluru,3,2.1k,35,10
Capital Trust,3.3,368,NBFC ,New Delhi,109,845,22,--
Mann And Hummel Filter,3.9,368,Industrial Machinery ,Bangalore / Bengaluru,19,1.7k,19,8
GRT Jewellers,4.2,369,Jewellery ,Chennai,36,1.4k,28,9
Ozone Overseas,3.8,368,Architecture & Interior Design ,New Delhi,53,1.3k,29,6
LuLu Group International,3.6,368,Retail ,Kochi,38,2k,30,--
Xdbs,3.1,367,Marketing & Advertising ,Pune,4,1.7k,39,--
Infovision,3.5,367,IT Services & Consulting ,Pune,11,3.8k,36,36
Pon Pure Chemical,3.5,367,Chemicals ,Chennai,40,1.3k,22,32
RCM,4.2,367,Retail ,Bhilwara,41,575,43,9
Orient Bell,3.4,367,Building Material ,New Delhi,66,1.3k,18,1
Cipla Health,4.1,367,Pharma ,Mumbai,78,1.2k,37,--
PGP Glass,4.1,367,Packaging ,Vadodara,14,1.2k,28,7
Triumphant Institute of Management Education,3.6,366,Education & Training ,Hyderabad / Secunderabad,72,1.3k,14,43
IB Group,3.8,366,Food Processing ,Rajnandgaon,74,1.4k,25,--
Premium Transmission,3.3,366,Industrial Machinery ,Pune,15,1.8k,42,--
Munjal Showa,3.3,366,Auto Components ,Gurgaon / Gurugram,12,1.2k,16,--
Grey Orange,3.2,366,Software Product ,Gurgaon / Gurugram,9,2.2k,40,128
Kcc Buildcon,3.9,366,Engineering & Construction ,Gurgaon / Gurugram,55,1.4k,30,--
Chambal Fertilisers And Chemicals,3.9,366,Agro Chemicals ,Kota,48,1.5k,21,--
Moolchand Hospital,4.2,366,Healthcare ,New Delhi,9,733,18,16
XL Health,4.2,365,Healthcare ,Bangalore / Bengaluru,6,1.5k,22,--
Ensono,4.3,365,IT Services & Consulting ,Pune,10,2.2k,27,78
Vectus Industries,4.1,365,Petrochemicals ,Noida,58,1.3k,17,--
Global Indian International School,4.0,365,Education & Training ,Noida,23,983,17,34
TresVista,2.6,365,Financial Services ,Pune,11,2.6k,118,30
YKK,3.9,365,Fashion & Textile ,Rewari,24,1.2k,23,--
Nowfloats Technologies,3.1,365,Software Product ,Hyderabad / Secunderabad,39,1.1k,18,4
Udaan India - The Original Visa Company,4.2,365,,Bangalore / Bengaluru,79,1.5k,23,--
Realty Assistant,3.7,365,Real Estate ,Noida,14,583,39,--
HYT Engineering Company Pvt Ltd,3.3,365,Industrial Machinery ,Pune,24,1.3k,32,11
Desun Hospital & Heart Institute,3.9,365,,Kolkata,12,947,24,4
Lido Learning,2.2,365,EdTech ,Mumbai,18,1.7k,55,--
Manhattan Associates,3.6,364,IT Services & Consulting ,Bangalore / Bengaluru,5,3.3k,41,17
Oberoi Realty,4.2,365,Real Estate ,Mumbai,11,1.8k,17,12
Western Union,3.2,364,FinTech ,Pune,18,2.4k,36,14
Alfanar,4.0,364,Electronics Manufacturing ,Chennai,33,890,21,8
Samsonite,4.2,364,Retail ,Nashik,55,1.3k,15,10
Pocket FM,2.7,364,Media & Entertainment ,Bangalore / Bengaluru,17,1.5k,60,19
Bmm Ispat,3.9,364,Iron & Steel ,Hosapete,13,1.3k,32,2
BPTP,4.2,364,Real Estate ,New Delhi,5,1.3k,23,14
Flatworld Solutions,3.6,365,BPO ,Bangalore / Bengaluru,8,2.7k,26,25
Sunstone,3.8,364,Education & Training ,Gurgaon / Gurugram,25,1.5k,24,35
Imarticus Learning,4.2,364,EdTech ,Mumbai,22,1.2k,23,2
Etech Global Services,3.8,364,BPO ,Gandhinagar,11,1.7k,44,8
Flipkart Wholesale,3.8,365,,Bangalore / Bengaluru,53,878,65,--
Buhler,3.9,363,Industrial Machinery ,Bangalore / Bengaluru,28,1.8k,30,--
Nexteer Automotive,3.8,363,Auto Components ,Bangalore / Bengaluru,10,2.4k,25,--
Silver Touch Technologies,3.1,363,IT Services & Consulting ,New Delhi,36,2.3k,29,17
Arvind Fashions,3.7,364,Fashion & Textile ,Bangalore / Bengaluru,53,1.6k,20,--
Tirumala Milk Products,4.1,364,Food Processing ,Chennai,51,1.1k,28,12
Indian Space Research Organisation,4.6,363,Defence & Aerospace ,Bangalore / Bengaluru,30,1.2k,22,--
Birla White,4.3,363,Building Material ,Jodhpur,93,1k,28,--
Shyam Sel & Power,3.8,363,Industrial Machinery ,Kolkata,25,1.4k,54,--
Theobroma Foods,3.9,363,Food Processing ,Mumbai,31,1.2k,19,24
MCM Telecom Equipment,3.9,363,Electronics Manufacturing ,Noida,6,940,16,1
Comcast,3.9,362,Telecom ,Chennai,11,3.7k,80,121
Connectwise India,3.5,362,IT Services & Consulting ,Pune,9,2.7k,59,13
Freecharge,3.8,363,FinTech ,Gurgaon / Gurugram,49,2.5k,58,26
Indian Overseas Bank,3.2,363,Banking ,Chennai,79,1.1k,15,--
Aeries Technology,3.2,362,IT Services & Consulting ,Bangalore / Bengaluru,7,2.3k,29,73
PropTiger.com,3.9,362,Internet ,Gurgaon / Gurugram,14,1.3k,24,--
Anunta Technology Management Services,3.4,362,IT Services & Consulting ,Mumbai,18,2k,34,11
Kanpur Fertilizers & Chemicals,3.5,362,Agro Chemicals ,Kanpur,30,1.2k,33,--
Bank of Maharashtra,3.3,361,Banking ,Pune,72,1.4k,17,--
Indraprastha Gas,3.8,361,Oil & Gas ,New Delhi,25,1.6k,20,--
UCAL Fuel Systems,3.8,361,Auto Components ,Chennai,16,1.4k,9,--
ABM Knowledgeware,3.7,361,IT Services & Consulting ,Mumbai,39,1.4k,30,8
Tessolve,3.5,361,Semiconductors ,Bangalore / Bengaluru,11,2.5k,59,11
Bhagwati Products,3.7,361,Consumer Electronics & Appliances ,Hyderabad / Secunderabad,17,1k,15,--
Kiswok Industries,3.4,361,Automobile ,Kolkata,6,1.6k,32,7
Srei Equipment Finance,4.4,361,Financial Services ,Kolkata,78,1k,11,--
Aizant Drug Research Solutions,3.8,361,Clinical Research ,Hyderabad / Secunderabad,4,1.2k,12,9
World Vision,4.3,361,Non-Profit ,Chennai,96,685,20,--
Toshiba JSW Power Systems,4.2,360,Industrial Machinery ,Chennai,14,1.6k,20,4
AccorHotels,4.3,360,Hospitality ,New Delhi,40,1.2k,19,--
SPRINKLR,2.9,360,Software Product ,Bangalore / Bengaluru,8,3.4k,107,103
ITC Limited - Paperboards Specialty Papers Division,3.9,360,Packaging ,Bhadrachalam,17,1.4k,16,--
Spice Money,4.1,362,FinTech ,Noida,95,1.4k,32,--
Bonfiglioli Transmissions Private Limited,3.6,360,Industrial Machinery ,Chennai,19,1.6k,30,--
Eversendai,3.7,360,Engineering & Construction ,Chennai,17,1.5k,29,3
AQuity Solutions India,3.7,360,IT Services & Consulting ,Hyderabad / Secunderabad,19,2k,39,16
ITSource Technologies,2.9,360,IT Services & Consulting ,Mumbai,28,1.9k,28,--
Mindlance,3.9,360,Recruitment ,Noida,11,1.5k,25,13
Karvy Innotech,3.0,360,IT Services & Consulting ,New Delhi,40,2k,28,--
Dow Chemical International Private Limited,3.9,360,Chemicals ,Chennai,15,1.9k,34,8
Kirloskar Toyota Textile Machinery,4.6,359,Industrial Machinery ,Bangalore / Bengaluru,9,810,19,--
Knack Global,3.0,359,IT Services & Consulting ,Jaipur,10,1.5k,44,13
L&T Valves,3.7,359,Industrial Machinery ,Coimbatore,14,2k,13,1
Accelya Solutions India Limited,3.5,359,IT Services & Consulting ,Mumbai,11,2.4k,44,44
Citykart Retail,3.8,359,Retail ,New Delhi,64,889,21,--
Nettur Technical Training Foundation,3.8,358,Education & Training ,Bangalore / Bengaluru,43,1.1k,25,5
Mahendra’s Institute,3.2,358,Education & Training ,Lucknow,91,729,9,3
Bharat Aluminium Company (BALCO),4.0,357,Metals & Mining ,Korba,15,1.6k,30,--
MAHLE Behr India,3.7,357,Auto Components ,Pune,11,924,13,10
Kuehne + Nagel,3.8,357,Logistics ,Gurgaon / Gurugram,33,1.5k,23,--
Himatsingka Seide,3.7,357,Fashion & Textile ,Bangalore / Bengaluru,14,1.5k,24,15
Gujarat Ambuja Exports,3.4,357,Agro Chemicals ,Ahmedabad,33,1.4k,22,1
Carrier Midea,3.6,357,Semiconductors ,Pune,47,1.6k,16,--
Runwal Group,3.9,358,Real Estate ,Mumbai,8,1.8k,24,73
Publicis,3.6,357,Marketing & Advertising ,Gurgaon / Gurugram,16,3.8k,54,1
Jeeves Consumer Services,3.6,357,Consumer Electronics & Appliances ,Bangalore / Bengaluru,56,848,28,--
NTPC GE Power Services,3.9,357,Oil & Gas ,Jharsuguda,26,1.2k,45,--
Labournet Services,3.8,357,Non-Profit ,Bangalore / Bengaluru,55,895,20,3
Cedcoss Technologies,3.0,356,IT Services & Consulting ,Lucknow,3,1.9k,51,17
M Baazar,4.0,357,Retail ,Kolkata,86,776,30,14
Midland Microfin Limited,3.5,356,NBFC ,Jalandhar,104,851,35,--
Jyoti CNC Automation,4.0,356,Industrial Machinery ,Rajkot,30,1.3k,19,7
Gtpl Hathway,3.9,356,Broadcasting ,Ahmedabad,47,1.7k,26,9
Agilent Technologies,4.1,355,Pharma ,Gurgaon / Gurugram,18,1.9k,22,46
Nissan,3.8,355,Automobile ,Chennai,71,1.8k,27,--
Healthcare At Home,3.7,355,Healthcare ,Mumbai,32,1.2k,27,24
Christian Medical College,4.1,355,Education & Training ,Vellore,30,1.2k,12,5
Hanon Systems,3.9,355,Auto Components ,Chennai,18,1.6k,15,--
Watchyourhealth.com,4.7,355,Emerging Technologies ,Thane,3,330,51,4
Ashiana Housing,4.0,355,Real Estate ,Jaipur,19,1.4k,30,22
Piramal Swasthya,4.1,355,Healthcare ,Hyderabad / Secunderabad,59,984,18,--
Mettler-Toledo,3.6,355,Electrical Equipment ,Mumbai,22,1.9k,26,2
US Tech Solutions,3.7,355,Recruitment ,Noida,14,2.1k,21,2
SRM University,3.5,354,Education & Training ,Chennai,24,1.5k,28,--
Tyger Capital,4.0,354,NBFC ,Mumbai,103,1.2k,26,6
Descon Engineering,4.2,354,Engineering & Construction ,Mumbai,26,616,21,--
Vijay Nirman Company,3.6,354,Engineering & Construction ,Hyderabad / Secunderabad,33,893,8,--
P.D. Hinduja National Hospital and Medical Research Centre,3.8,354,Healthcare ,Mumbai,13,2.3k,25,--
Methodex,3.7,354,Law Enforcement & Security ,New Delhi,48,1.3k,14,4
Hexagon Capability Center,4.0,354,IT Services & Consulting ,Hyderabad / Secunderabad,9,2.7k,41,--
PC Solutions,3.8,353,IT Services & Consulting ,New Delhi,17,1.3k,23,12
Ipsos,3.2,353,Analytics & KPO ,Mumbai,27,2.2k,40,9
V-bazaar Retail,3.8,353,Retail ,Gurgaon / Gurugram,71,852,31,--
S2 Infotech,3.5,353,Recruitment ,Mumbai,67,1.6k,11,--
Heavy Engineering Industries & Shipbuilding,4.0,353,Engineering & Construction ,Kuwait City,29,661,14,--
Kailash Hospital,3.7,353,Healthcare ,Noida,25,965,15,60
Air Liquide,3.8,353,Chemicals ,New Delhi,36,1.5k,25,7
Owens Corning,3.5,353,Building Material ,Mumbai,12,1.6k,19,2
Jamna Auto Industries,3.8,353,Auto Components ,Gwalior,37,1.6k,18,2
Coronis Health,3.6,353,Analytics & KPO ,Mohali,10,1.1k,26,10
eNoah iSolution,3.8,353,IT Services & Consulting ,Chennai,7,2.1k,30,20
SirionLabs,3.7,353,Software Product ,Gurgaon / Gurugram,6,1.8k,27,14
Examity,3.4,353,EdTech ,Hyderabad / Secunderabad,6,1.8k,33,3
Adarsh Credit Co-Operative Society,4.2,352,Investment Banking / Venture Capital / Private Equity ,Ahmedabad,137,549,3,--
Merck,4.2,352,Pharma ,Bangalore / Bengaluru,52,2.2k,16,--
Icertis,3.4,352,Software Product ,Pune,11,2.9k,53,55
Mediamint,3.3,353,Marketing & Advertising ,Hyderabad / Secunderabad,7,2.3k,35,11
Gold Plus Glass,3.4,353,Other ,Roorkee,36,1.3k,18,6
Johnson Controls Hitachi Air Conditioning,3.7,352,Consumer Electronics & Appliances ,Ahmedabad,35,1.6k,20,--
Hathi Cement,4.1,351,Building Material ,Porbandar,40,1.1k,23,5
Park Hospital,3.6,351,Healthcare ,Gurgaon / Gurugram,21,1.2k,25,17
Hilex,3.8,351,Automobile ,Chennai,16,1.1k,15,--
Aka Logistics,3.2,351,Logistics ,Kolkata,36,1.3k,31,2
KLAY Schools,3.6,351,Education & Training ,Bangalore / Bengaluru,18,1.3k,39,20
Yutika Natural,3.6,351,Beauty & Personal Care ,Indore,55,772,19,3
Zoomcar,3.8,351,Internet ,Bangalore / Bengaluru,29,1.6k,23,6
Astra Microwave Products,3.8,351,Defence & Aerospace ,Hyderabad / Secunderabad,13,1.9k,28,2
Sangeetha Mobile,3.6,352,Internet ,Bangalore / Bengaluru,78,1.4k,19,--
Hyundai Engineering and Construction,4.3,350,Engineering & Construction ,Chennai,31,524,19,--
Foundit,3.3,350,,Hyderabad / Secunderabad,15,1.8k,28,12
Satyam Venture Engineering Services,3.5,350,Auto Components ,Hyderabad / Secunderabad,12,2.4k,24,28
Hajee A P Bava Construction,3.6,350,Engineering & Construction ,Hyderabad / Secunderabad,55,941,11,1
Baramati Agro,3.9,350,FMCG ,Pune,42,1.4k,23,--
Gupta Power Infrastructure,3.1,349,Power ,Bhubaneswar,42,1.4k,12,--
Stanley Black & Decker,3.8,349,,Pune,26,1.8k,20,10
Zara,3.6,349,Fashion & Textile ,New Delhi,21,805,37,--
BCH Electric,4.0,349,Electrical Equipment ,Faridabad,34,1.4k,22,1
Cheil India,3.0,349,Marketing & Advertising ,Gurgaon / Gurugram,20,1.9k,17,8
Indian Institute of Technology Gandhinagar,4.1,350,Education & Training ,New Delhi,34,2.3k,22,--
ClearTax,3.3,349,IT Services & Consulting ,Bangalore / Bengaluru,10,2k,45,27
Cheil India,3.0,349,Marketing & Advertising ,Gurgaon / Gurugram,20,1.9k,17,8
Dynacons Systems & Solutions,3.7,349,IT Services & Consulting ,Mumbai,66,1.3k,21,24
Bangalore International Airport,4.4,349,Aviation ,Bangalore / Bengaluru,12,1.5k,27,12
Teachnook,3.1,349,EdTech ,Bangalore / Bengaluru,16,405,90,--
Helloverify,3.0,349,Law Enforcement & Security ,Noida,8,1.4k,33,--
Sumitomo Chemical,4.0,348,Chemicals ,Bhavnagar,75,1.4k,19,2
Evelyn Learning Systems,3.9,348,EdTech ,New Delhi,10,1k,38,--
Konecranes,4.0,348,Industrial Machinery ,Pune,14,1.8k,23,--
VIT University,4.1,348,Education & Training ,Vellore,14,1.4k,30,110
SML Isuzu,4.2,348,Automobile ,Chandigarh,48,1.3k,24,--
Cooper Corporation,4.0,348,Auto Components ,Satara,11,1.4k,42,--
Ssipl Lifestyle,4.1,349,Retail ,New Delhi,46,985,5,6
Bses Yamuna Power,3.7,348,Power ,New Delhi,7,1.3k,17,--
Venus Remedies,4.0,348,Pharma ,Baddi,34,946,32,24
Haldia Petrochemicals,3.8,347,Petrochemicals ,Haldia,14,1.7k,35,3
Rosmerta Technologies,3.5,347,Automobile ,Gurgaon / Gurugram,54,1.6k,28,31
NCCCL,3.3,347,Engineering & Construction ,Bangalore / Bengaluru,25,1.1k,17,--
Unified Mentor,4.1,347,,Bangalore / Bengaluru,35,321,60,--
Kaynes Technology,3.1,348,Electronics Manufacturing ,Mysuru / Mysore,17,1.5k,26,--
Konexions Back Office Services,2.9,347,BPO ,New Delhi,15,1.5k,26,--
Azentio,3.2,347,Software Product ,Chennai,15,3.3k,46,9
Clean Harbors,3.4,347,Waste Management ,Hyderabad / Secunderabad,3,2.3k,31,10
Country Holidays Inn & Suites,4.2,346,Travel & Tourism ,Noida,16,150,110,--
Royal Orchid Hotels,4.0,347,Hospitality ,Bangalore / Bengaluru,50,986,11,10
AgreeYa Solutions,3.2,347,IT Services & Consulting ,Noida,10,2.3k,24,10
Grand Hyatt,4.2,346,Hospitality ,Mumbai,28,923,11,--
Expedia Group,3.6,346,Internet ,Gurgaon / Gurugram,12,3.1k,79,14
Intercontinental Exchange,3.2,346,FinTech ,Hyderabad / Secunderabad,8,2.2k,39,--
Audi,4.0,346,Automobile ,New Delhi,52,1.2k,14,--
Burns & McDonnell,4.2,345,Engineering & Construction ,Mumbai,8,2k,51,135
STUDDS Accessories Limited,3.8,345,Auto Components ,Faridabad,13,1.3k,41,7
LeadSquared,2.7,345,Software Product ,Bangalore / Bengaluru,14,2.8k,65,36
Jumio,3.8,345,IT Services & Consulting ,Jaipur,12,1k,14,16
Sri Aurobindo Society,3.8,345,Non-Profit ,New Delhi,23,770,47,1
G. D. Foods MFG (TOPS),3.7,345,Food Processing ,New Delhi,49,931,20,10
Rail Vikas Nigam,3.4,345,FMCG ,New Delhi,72,973,11,--
Nippon Koei India,4.6,345,Engineering & Construction ,New Delhi,51,1.1k,33,--
Impact Guru,3.6,345,Internet ,Mumbai,21,1.4k,46,29
Diverse Lynx,3.5,344,IT Services & Consulting ,Noida,18,1.8k,20,6.2k
Mobileum,3.2,344,Software Product ,Bangalore / Bengaluru,10,2.2k,41,2
Shiprocket Private Limited,3.6,344,Internet ,Gurgaon / Gurugram,12,2.4k,53,43
Ryan,3.9,344,Accounting & Auditing ,Hyderabad / Secunderabad,5,1.5k,28,18
TCG Lifesciences,4.1,344,Pharma ,Kolkata,6,1.2k,14,2
Pharmarack Technologies,3.5,344,IT Services & Consulting ,Pune,67,1.6k,29,2
Bosch Rexroth India,4.0,345,Industrial Machinery ,Ahmedabad,19,1.4k,20,--
Civica India,3.2,343,IT Services & Consulting ,Vadodara,12,2k,37,21
GMR Hyderabad International Airport,4.1,343,Aviation ,Hyderabad / Secunderabad,13,1.2k,17,2
Holcim,3.6,343,Building Material ,Mumbai,35,2k,23,8
V-Xpress,3.9,343,Logistics ,Mumbai,56,1k,18,11
Marksans Pharma,3.2,344,Pharma ,Mumbai,21,1.5k,16,2
Tekion,3.1,343,Software Product ,Bangalore / Bengaluru,4,4k,102,46
Avalara Technologies,3.2,343,Software Product ,Pune,5,2.7k,69,161
IDS Infotech,3.1,342,IT Services & Consulting ,Chandigarh,18,1.3k,42,34
Akal Information Systems,4.0,342,IT Services & Consulting ,New Delhi,43,1.8k,25,5
Wipro GE Health Care,4.0,342,IT Services & Consulting ,Bangalore / Bengaluru,34,1.6k,16,--
Hiranandani Financial Services,3.9,342,NBFC ,Mumbai,76,781,26,12
Lotte India Corporation,3.9,342,FMCG ,Chennai,75,1.3k,26,--
Associated Road Carriers,4.2,342,Logistics ,Hyderabad / Secunderabad,68,1.1k,22,4
Vision India Services,3.8,343,Recruitment ,Noida,90,1.2k,32,33
GD Research Center,3.2,342,Analytics & KPO ,Hyderabad / Secunderabad,11,2k,25,12
KrazyBee,3.7,342,Internet ,Bangalore / Bengaluru,16,1.9k,17,6
Medall Healthcare,3.7,341,Healthcare ,Chennai,49,1.1k,6,--
Kennametal,3.6,341,Industrial Machinery ,Bangalore / Bengaluru,12,1.7k,25,--
Time Technoplast,3.9,341,Petrochemicals ,Mumbai,33,1.7k,12,12
IPE Global,3.7,341,Management Consulting ,New Delhi,89,1k,25,56
Jubilant Biosys,3.7,341,Biotechnology ,Bangalore / Bengaluru,11,1.7k,38,54
Wildcraft,3.7,341,Fashion & Textile ,Bangalore / Bengaluru,46,1.4k,13,2
GGS Information Services,3.9,341,IT Services & Consulting ,Chennai,9,2k,27,--
EXEDY,3.7,341,Auto Components ,Bangalore / Bengaluru,19,1.5k,22,--
Eisai Pharmaceuticals,4.0,341,Healthcare ,Visakhapatnam,24,1.2k,22,2
Kores,3.9,341,FMCG ,Mumbai,39,1.6k,20,2
Merck Life Science,4.0,341,Pharma ,Bangalore / Bengaluru,14,2.6k,19,2
Prism Johnson Limited - RMC (India) Division,3.7,341,Building Material ,Mumbai,55,1.1k,32,--
Tata Toyo Radiator,3.7,341,Auto Components ,Pune,11,1.5k,18,--
R&R Limousine And Bus,4.0,340,,Chennai,11,119,--,--
Aquasub Engineering,4.0,341,Industrial Machinery ,Coimbatore,16,1.2k,9,1
SHARE Microfin,4.2,340,Financial Services ,Hyderabad / Secunderabad,121,514,17,--
Alfa Laval,3.9,340,Industrial Machinery ,Pune,18,1.7k,32,16
SHARE Microfin,4.2,340,Financial Services ,Hyderabad / Secunderabad,121,514,17,--
Trident Hotels,3.9,340,Hospitality ,Mumbai,18,979,17,--
Alfa Laval,3.9,340,Industrial Machinery ,Pune,18,1.7k,32,16
D.p. Jain & Co. Infrastructure Pvt .,3.3,340,Engineering & Construction ,Nagpur,36,1.3k,26,2
Caparo Maruti,4.2,340,Auto Components ,Gurgaon / Gurugram,19,1.2k,12,--
RDC Concrete (India),4.0,340,Real Estate ,Mumbai,48,1.2k,36,3
Hero Housing Finance,4.0,340,Financial Services ,New Delhi,80,1.4k,21,87
S. M. Auto Engineering,3.3,342,Auto Components ,Pune,7,1.4k,23,1
AppInventiv Technologies,3.8,340,Software Product ,Noida,11,2.4k,71,15
Teleysia Networks,3.6,339,Telecom ,Ahmedabad,35,735,12,3
Intercontinental Consultants & Technocrats,4.1,339,Engineering & Construction ,New Delhi,55,1.1k,25,3
Flyjac Logistics,4.0,339,Logistics ,Chennai,49,1.2k,7,1
People Group,3.4,339,Internet ,Mumbai,28,1.5k,14,45
Treebo Hotels,3.2,339,Internet ,Bangalore / Bengaluru,37,1.4k,28,106
Netlink Software,3.2,339,IT Services & Consulting ,Bhopal,28,2.1k,20,13
Arcesium,3.5,339,IT Services & Consulting ,Hyderabad / Secunderabad,8,3.1k,85,43
Elecon Engineering,4.1,339,Electrical Equipment ,Anand,21,1.4k,19,8
SBI Capital Markets,3.7,338,,Mumbai,99,1.9k,18,--
Tribhovandas Bhimji Zaveri,4.2,338,Metals & Mining ,Mumbai,34,990,7,8
Bharat Rasayan,4.0,338,Agro Chemicals ,Bharuch,17,1.5k,30,--
Intelliswift - An LTTS Company,3.3,338,IT Services & Consulting ,Bangalore / Bengaluru,8,2.2k,28,9
Nidec Corporation,3.9,338,Industrial Machinery ,Neemrana,23,1.5k,21,2
Nuziveedu Seeds,3.9,338,Agriculture ,Hyderabad / Secunderabad,56,1.1k,31,--
Polybond India,3.7,338,Auto Components ,Pune,13,1.4k,15,1
Sagar Cements,4.3,338,Building Material ,Hyderabad / Secunderabad,43,1.2k,33,--
Jawahar Navodaya Vidyalaya,4.4,339,Education & Training ,New Delhi,139,510,16,--
SKH Y-TEC,3.9,337,Auto Components ,Ahmedabad,22,1.3k,25,--
Aliens Group,3.6,337,Real Estate ,Hyderabad / Secunderabad,6,1.3k,40,81
Watertec India,3.9,337,Building Material ,Coimbatore,68,1.2k,14,23
Ryan International School,3.4,337,Education & Training ,Mumbai,42,998,18,--
K L University,3.8,337,Education & Training ,Vijayawada,19,1.1k,42,5
RCL-PRIYA CEMENT,4.2,337,Building Material ,Kurnool,50,1k,15,--
Jaypee Cement,4.0,336,Building Material ,Rewa,70,896,15,--
Rao IIT Academy,3.7,336,Education & Training ,Mumbai,20,538,9,--
Avineon India,3.9,336,IT Services & Consulting ,Hyderabad / Secunderabad,9,1.3k,30,11
Mobiloitte Technologies,3.2,336,IT Services & Consulting ,New Delhi,8,986,30,14
TÜV Rheinland,4.1,336,Law Enforcement & Security ,Bangalore / Bengaluru,54,1.3k,12,--
GSP Crop Science,4.0,336,Agro Chemicals ,Vadodara,40,1.4k,25,13
Sarvodaya Hospital,3.7,336,Healthcare ,Faridabad,18,1.3k,17,34
Dorf Ketal Chemicals,4.0,336,Oil & Gas ,Mumbai,34,1.7k,19,--
Webkul Software,4.0,336,IT Services & Consulting ,Noida,8,1.3k,72,9
Transguard Group,3.9,335,Law Enforcement & Security ,Dubai,24,486,15,--
IIC Technologies,3.6,335,IT Services & Consulting ,Hyderabad / Secunderabad,21,1.1k,12,2
Mahindra Last Mile Mobility,3.7,336,Automobile ,Bangalore / Bengaluru,26,937,19,--
NU Vista,4.1,335,Building Material ,Kolkata,65,1.2k,10,--
Starbucks,4.0,335,Hospitality ,Mumbai,52,911,32,--
Core Integra Consulting Services,3.4,334,Recruitment ,Mumbai,77,1.2k,20,--
The Park Hotels,4.1,334,Hospitality ,Kolkata,24,1.2k,10,--
Fitelo,3.5,334,Fitness & Wellness ,Mohali,10,617,39,--
UNIVO Education,3.3,334,EdTech ,Noida,8,1.3k,23,8
Innovatiview India Ltd,3.9,334,Emerging Technologies ,New Delhi,13,1.1k,29,19
Andromeda Sales ans Distribution PVT LTD,3.3,334,Internet ,Mumbai,63,1.5k,18,8
Jade Global,3.5,335,IT Services & Consulting ,Pune,6,2.9k,38,474
Arjas Steel,4.0,334,Iron & Steel ,Anantapur,19,1.2k,21,2
SiliconIndia,2.7,334,Printing & Publishing ,Bangalore / Bengaluru,9,1.8k,26,--
